"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-15","0.08","2.5","3.9","17","28","9",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-16","0.07","0.0","2.0","18","26","12","    1",,,,"    1",
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-17","0.13","0.0","2.0","32","45","24","    1",,,,"    1",
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-18","0.07","2.5","0.0","30","32","28",,,,"    1","    1",
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-19","0.00","0.0","3.1","31","46","19",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-20","0.00","0.0","1.2","40","60","26",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-21","0.00","0.0","0.0","57","73","44",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-22","0.00","0.0","0.0","61","74","45",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-23","0.00","0.0","0.0","60","78","44",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-24","0.00","0.0","0.0","68","78","63",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-25","0.05","0.0","0.0","62","66","55","    1","    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-26","0.00","0.0","0.0","55","61","50","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-27","0.02","0.0","0.0","64","76","58","    1","    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-02-28","0.02","0.0","0.0","71","75","62","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-01","0.00","0.0","0.0","59","62","51",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-02","0.00","0.0","0.0","53","67","42",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-03","0.00","0.0","0.0","54","71","38",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-04","0.00","0.0","0.0","59","75","45",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-05","0.00","0.0","0.0","67","81","56","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-06","0.00","0.0","0.0","60","68","50",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-07","0.00","0.0","0.0","57","70","45",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-08","0.00","0.0","0.0","58","72","48",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-09","0.00","0.0","0.0","65","77","58","    1","    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-10","0.00","0.0","0.0","70","82","64",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-11","0.00","0.0","0.0","72","79","66",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-12","0.00","0.0","0.0","73","80","68",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-13","0.07","0.0","0.0","71","78","67","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-14","0.05","0.0","0.0","67","80","52","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-15","0.00","0.0","0.0","62","84","44",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-16","0.00","0.0","0.0","71","84","65","    1",,,,,
