latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
22.94118,-81.09698,320.97,1.54,1.22,2022-04-01,1539,T,49,6.1NRT,299.51,12.33,D
22.76472,-79.8839,321.29,1.28,1.12,2022-04-01,1539,T,67,6.1NRT,302.46,11.82,D
22.78808,-80.94427,321.48,1.49,1.21,2022-04-01,1539,T,23,6.1NRT,303.66,13.29,D
22.65684,-80.91602,348.53,1.48,1.2,2022-04-01,1539,T,94,6.1NRT,302.12,85.38,D
22.80122,-82.39859,318.81,1.89,1.34,2022-04-01,1539,T,55,6.1NRT,297.71,12.49,D
22.65658,-81.19807,328.52,1.55,1.23,2022-04-01,1539,T,78,6.1NRT,301.02,30.84,D
22.67715,-83.06937,332,2.1,1.41,2022-04-01,1541,T,83,6.1NRT,298,67.79,D
22.67672,-83.07619,329.34,2.1,1.41,2022-04-01,1541,T,81,6.1NRT,298.04,55.42,D
22.21704,-80.3909,337.99,1.35,1.15,2022-04-01,1541,T,82,6.1NRT,295.87,48.36,D
21.98454,-78.79385,331.33,1.11,1.05,2022-04-01,1541,T,81,6.1NRT,302.84,24.56,D
21.81083,-77.9782,322.59,1.04,1.02,2022-04-01,1541,T,50,6.1NRT,302.24,11.78,D
21.44901,-78.48643,324.96,1.07,1.03,2022-04-01,1541,T,43,6.1NRT,302.59,10.99,D
21.13417,-78.20358,329.62,1.04,1.02,2022-04-01,1541,T,79,6.1NRT,302.01,18.29,D
21.13279,-78.19364,325.53,1.04,1.02,2022-04-01,1541,T,70,6.1NRT,304.34,12.49,D
20.49083,-75.99796,331.24,1.02,1.01,2022-04-01,1541,T,56,6.1NRT,310.97,12.92,D
20.48639,-75.9689,328.67,1.03,1.01,2022-04-01,1541,T,72,6.1NRT,307.93,8.91,D
20.37043,-76.23799,341.49,1.02,1.01,2022-04-01,1541,T,89,6.1NRT,309.24,30.45,D
20.20193,-75.2039,331.64,1.09,1.04,2022-04-01,1541,T,73,6.1NRT,309.53,12.98,D
18.768,-72.9284,323.02,1.51,1.21,2022-04-01,1541,T,75,6.1NRT,298.63,21.9,D
18.76543,-72.93456,317.33,1.51,1.21,2022-04-01,1541,T,65,6.1NRT,298.12,12.59,D
18.33286,-70.88206,315.61,2.17,1.43,2022-04-01,1541,T,0,6.1NRT,297.11,22.08,D
18.26308,-78.27137,341.83,1.01,1.01,2022-04-01,1541,T,91,6.1NRT,304.07,39.25,D
17.96135,-77.02216,325.34,1.01,1,2022-04-01,1541,T,78,6.1NRT,303.97,11.99,D
34.34282,-80.05193,305.55,1.86,1.33,2022-04-01,1537,T,58,6.1NRT,294.8,8.61,D
34.34967,-80.05807,311.11,1.86,1.33,2022-04-01,1537,T,69,6.1NRT,295.06,18.11,D
33.51887,-82.43882,303.53,2.61,1.55,2022-04-01,1537,T,56,6.1NRT,290.18,20.58,D
33.37634,-82.68952,303.15,2.7,1.57,2022-04-01,1537,T,44,6.1NRT,288.42,19.15,D
33.37434,-82.66061,301.45,2.69,1.57,2022-04-01,1537,T,27,6.1NRT,288.16,14.19,D
33.37011,-82.66718,304.85,2.69,1.57,2022-04-01,1537,T,60,6.1NRT,288.51,24.08,D
33.04139,-79.71236,310.91,1.7,1.28,2022-04-01,1539,T,70,6.1NRT,293.24,17.77,D
33.04439,-79.71879,303.87,1.7,1.28,2022-04-01,1539,T,54,6.1NRT,292.98,8.78,D
33.04255,-79.70072,307.37,1.69,1.28,2022-04-01,1539,T,64,6.1NRT,292.86,13.63,D
31.92068,-83.54391,312.36,2.97,1.64,2022-04-01,1539,T,72,6.1NRT,289.62,46.76,D
31.92054,-83.55116,309.57,2.97,1.64,2022-04-01,1539,T,69,6.1NRT,290.23,36.63,D
31.24912,-84.49559,308.19,3.39,1.74,2022-04-01,1539,T,66,6.1NRT,293.42,34.57,D
31.23882,-84.5038,304.84,3.39,1.74,2022-04-01,1539,T,42,6.1NRT,292.89,26.21,D
26.4496,-77.0719,322.4,1.05,1.02,2022-04-01,1539,T,57,6.1NRT,299.74,11.17,D
26.43832,-77.12708,336.1,1.05,1.03,2022-04-01,1539,T,87,6.1NRT,297.75,30.85,D
26.43692,-77.11662,323.66,1.05,1.02,2022-04-01,1539,T,71,6.1NRT,297.14,12.76,D
26.43008,-77.12373,333.6,1.05,1.02,2022-04-01,1539,T,80,6.1NRT,301.26,24.91,D
26.39063,-77.10881,320.76,1.05,1.02,2022-04-01,1539,T,46,6.1NRT,299.7,10.14,D
47.73801,-101.89637,313.67,1.85,1.33,2022-04-01,1711,T,74,6.1NRT,288.48,25.52,D
47.74502,-101.90228,306.58,1.85,1.33,2022-04-01,1711,T,64,6.1NRT,288.76,13.43,D
44.51765,-92.91521,331.64,1.06,1.03,2022-04-01,1713,T,87,6.1NRT,284.3,35.7,D
44.06675,-91.27671,306.01,1.22,1.1,2022-04-01,1713,T,63,6.1NRT,284.44,10.59,D
43.4123,-91.56126,302.02,1.22,1.1,2022-04-01,1713,T,50,6.1NRT,282.75,8.15,D
43.24635,-95.41267,300.17,1,1,2022-04-01,1713,T,28,6.1NRT,277.18,5.85,D
